🔗 github pages mirror,,,,,,,,
,,,,,,,,
,,"tracking sheet 2025
i put everything in here that seems major to me",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,didn't track the start dates for each one piece arc,,,,,
,,,"""→"" = same date",,,,,
,,title,start date,finish date,playtime (h),,type,days spent
,,Angel Beats! & Angel Beats! Specials,27-May-2025,28-May-2025,,,Anime,2 days
,,"Mushoku Tensei: Jobless Reincarnation Season 2 & Episode 0 ""Guardian Fitz""",29-May-2025,30-May-2025,,,Anime,2 days
,,Metal Gear Solid 3: Snake Eater,14-May-2025,30-May-2025,14.5h,,Game,17 days
,,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,31-May-2025,1-Jun-2025,,,Anime,2 days
,,Evangelion: 1.0 You Are (Not) Alone,→,3-Jun-2025,,,Anime (Film),same day
,,Deltarune - Chapter 3,→,5-Jun-2025,4.6h,,Game,same day
,,Toradora! (+ Bentou Battle Special Episode),1-Jun-2025,5-Jun-2025,,,Anime,5 days
,,Happy Sugar Life,6-Jun-2025,7-Jun-2025,,,Anime,2 days
,,Deltarune - Chapter 4 (+ Secret Boss),6-Jun-2025,7-Jun-2025,~6h,,Game,2 days
,,Evangelion: 2.0 You Can (Not) Advance,→,9-Jun-2025,,,Anime (Film),same day
,,Deltarune - Chapter 1 Replay (+ Jevil),idk,11-Jun-2025,~3.5h,,Game,N/A
,,Made in Abyss,8-Jun-2025,12-Jun-2025,,,Anime,5 days
,,Evangelion: 3.0 You Can (Not) Redo,→,13-Jun-2025,,,Anime (Film),same day
,,Metal Gear Solid: Portable Ops,9-Jun-2025,13-Jun-2025,~12.5h,,Game,5 days
,,Made in Abyss: Dawn of the Deep Soul,→,14-Jun-2025,,,Anime (Film),same day
,,Deltarune - Chapter 2 Replay (Snowgrave),idk,15-Jun-2025,~3h,,Game,N/A
,,Gushing over Magical Girls,13-Jun-2025,16-Jun-2025,,,Anime,4 days
,,Made in Abyss: The Golden City of the Scorching Sun,17-Jun-2025,19-Jun-2025,,,Anime,3 days
,,"Love, Chunibyo & Other Delusions! (& Chuni-Shorts)",17-Jun-2025,20-Jun-2025,,,Anime,4 days
,,Evangelion: 3.0+1.0 Thrice Upon a Time,→,21-Jun-2025,,,Anime (Film),same day
,,Deltarune - Chapter 3 Replay (+ Shadow Mantle & Roaring Knight),idk,21-Jun-2025,~5h,,Game,N/A
,,Deltarune - Chapter 4 Weird Route,idk,21-Jun-2025,~4.5h,,Game,N/A
,,"Love, Chunibyo & Other Delusions!: Sparkling... Slapstick Noel & Depth of Field: Love and Hate Theater",→,22-Jun-2025,,,Anime,same day
,,K-On! (+ Live House! & Ura-On!),22-Jun-2025,24-Jun-2025,,,Anime,3 days
,,School Days,26-Jun-2025,27-Jun-2025,,,Anime,2 days
,,Squid Game - Season 3,29-Jun-2025,30-Jun-2025,,,TV Show,2 days
,,Higurashi When They Cry - Matsuribayashi,8-Apr-2025,4-Jul-2025,37.3h,,Visual Novel,88 days
,,"Love, Chunibyo & Other Delusions!: Heart Throb 
(+ Heart Throb Lite Shorts, Heart Throb - The Rikka Wars, Heart Throb Specials)",5-Jul-2025,9-Jul-2025,,,Anime,5 days
,,"Love, Chunibyo & Other Delusions!: Take On Me",→,10-Jul-2025,,,Anime,same day
,,Like a Dragon: Pirate Yakuza in Hawaii,4-Jul-2025,12-Jul-2025,~51.3h,,Game,9 days
,,Hellsing Ultimate,14-Jul-2025,16-Jul-2025,,,Anime,3 days
,,Higurashi When They Cry Rei - Saikoroshi,7-Jul-2025,17-Jul-2025,~6h,,Visual Novel,11 days
,,Bakemonogatari (Rewatch),16-Jul-2025,18-Jul-2025,,,Anime,3 days
,,Kizumonogatari Trilogy (Rewatch),→,20-Jul-2025,,,Anime (Film),same day
,,Elfen Lied,20-Jul-2025,21-Jul-2025,,,Anime,2 days
,,Puella Magi Madoka Magica the Movie Part 1: Beginnings,→,22-Jul-2025,,,Anime (Film),same day
,,Puella Magi Madoka Magica the Movie Part 2: Eternal,→,23-Jul-2025,,,Anime (Film),same day
,,Puella Magi Madoka Magica the Movie: Rebellion (Rewatch),→,24-Jul-2025,,,Anime (Film),same day
,,K-On!! (+ Plan! & Ura-On!!),18-Jul-2025,26-Jul-2025,,,Anime,9 days
,,Cowboy Bebop,30-Jun-2025,27-Jul-2025,,,Anime,28 days
,,Nisemonogatari & Nekomonogatari: Kuro (Rewatch),22-Jul-2025,28-Jul-2025,,,Anime,7 days
,,Metal Gear Solid 4: Guns of the Patriots,23-Jul-2025,29-Jul-2025,~16h,,Game,7 days
,,Takopi's Original Sin,12-Jul-2025,1-Aug-2025,,,Anime,21 days
,,Higurashi: When They Cry (Anime),7-Aug-2025,9-Aug-2025,,,Anime,3 days
,,"Higurashi: When They Cry – Kai (Anime) 
(+ Nekogoroshi-hen & Specials)",10-Aug-2025,13-Aug-2025,,,Anime,4 days
,,Higurashi: When They Cry – Rei (Anime),13-Aug-2025,14-Aug-2025,,,Anime,2 days
,,Higurashi: When They Cry – Kira,14-Aug-2025,15-Aug-2025,,,Anime,2 days
,,Higurashi: When They Cry - Outbreak,→,15-Aug-2025,,,Anime,same day
,,Superman (2025),→,16-Aug-2025,,,Film,same day
,,K-On! Movie,→,23-Aug-2025,,,Anime (Film),same day
,,Midori,→,26-Aug-2025,,,Anime (Film),same day
,,Hunter x Hunter (2011),28-Jul-2025,30-Aug-2025,,,Anime,34 days
,,"Girls und Panzer 
(+ This is the Real Anzio Battle! & Specials) ",30-Aug-2025,1-Sep-2025,,,Anime,3 days
,,Girls und Panzer der Film (+ Alice War!),3-Sep-2025,4-Sep-2025,,,Anime (Film),2 days
,,Shoujo Ramune (Rewatch?),→,9-Sep-2025,,,Anime,same day
,,Dandadan 2nd Season,3-Jul-2025,22-Sep-2025,,,Anime,82 days
,,South Park - Season 27,24-Jul-2025,25-Sep-2025,,,Other,64 days
,,Onimai: I'm Now Your Sister!,10-Sep-2025,29-Sep-2025,,,Anime,20 days
,,Yakuza 3 Replay (Normal Difficulty without NG+),6-Oct-2025,9-Oct-2025,~13h,,Game,4 days
,,FLCL,10-Oct-2025,13-Oct-2025,,,Anime,4 days
,,Nisekoi (+ OVA),14-Oct-2025,25-Oct-2025,,,Anime,12 days
